Visit ID,Visit Date,Patient ID,Diagnosis Category,Diagnosis Sub Category,Treatment Category,Treatment Sub Category,New Patient,Consulting Physician,Patient Name,Patient Gender,Patient Age Range,Patient Blood Type,Patient Insurance Number,Patient Phone,Patient Address,Patient Occupation,Patient Emergency Contact
VVQ264649,2017-01-02,PMC053694,OB-Gyn/ Pregnancy,Female Breast Disorder,"Diagnostic Imaging, Screening and Testing",Mammography,True,Dr. Jerry Daniels,Sandra Brown,Female,51-64,A-,G988875177,016434021884,"Naserallee 9/2
25690 Beilngries",Web designer,"Katie Johnson, 016978256107."
VNZ556174,2017-01-02,PAX494715,Immunologic,Scleroderma,Rehabilitation Services - Outpatient,Physical Therapy,True,Dr. Jerry Daniels,Jason Maldonado,Female,31-40,B+,A761176794,016032533197,"Gertzallee 95
97680 Lüneburg",Heritage manager,"Stephanie Harmon, 017188524651."
VUA733136,2017-01-02,PZC061117,Mental,Depression - Severe,Mental Health Treatment,Residential Treatment Center - Admission,True,Dr. Jerry Daniels,Charles Ball,Male,10-20,B-,Y827978193,016313043120,"Aldo-Bähr-Ring 0/2
05265 Reutlingen",Environmental health practitioner,"Donald Vaughan, 015547826261."
VWH998027,2017-01-02,PSL169799,Orthopedic/ Musculoskeletal,Vertebral Disc Problem,Emergency/Urgent Care,Emergency Room,True,Dr. James Barber,Dale Daniels,Male,31-40,A-,V254017452,015859178568,"Gudegasse 8
90001 Weimar",Contracting civil engineer,"Jack Wu, 016763338246."
VLN649781,2017-01-02,PZW541916,Orthopedic/ Musculoskeletal,Back Pain,Electrical/ Thermal/ Radiofreq. Interventions,Radiofrequency Ablation,True,Dr. Alexandria Gaines,Debra Cole,Female,41-50,B-,C295256646,016552189268,"Bernfried-Fritsch-Platz 383
30768 Stade",Barrister,"Jennifer Yoder, 017390349876."
VBO533895,2017-01-02,PIV433648,Central Nervous System/ Neuromuscular,Migraine,Pharmacy/Prescription Drugs,Treatment for Migraine,True,Dr. Shelly Hunt,Keith Odonnell,Female,41-50,A+,Z329753959,015374360186,"Fliegnerallee 5/3
54009 Neuruppin","Conservation officer, nature","Austin Smith, 016556486896."
VUK685184,2017-01-02,PIA106485,Digestive System/ Gastrointestinal,Ventral Hernia,General Surgery,Hernia Repair,True,Dr. Shelly Hunt,John Buchanan,Female,41-50,B+,I624319473,015218070878,"Trubweg 81
41296 Wiedenbrück","Horticulturist, commercial","Jeff Johnson, 017824586658."
VYZ622096,2017-01-03,PLD683772,Orthopedic/ Musculoskeletal,Back Pain,Orthopedic,,True,Dr. Alexandria Gaines,Daniel Young,Female,31-40,A-,C441289808,016609734042,"Gabriela-Wiek-Allee 5/3
04527 Schweinfurt","Surveyor, building","Jean Johnson, 015113147672."
VSM070393,2017-01-03,PLU554138,Mental,Eating Disorder,,,True,Dr. Eddie Young,Janice Clark,Female,10-20,AB+,Q628648126,015082000061,"Loosstraße 6
51757 Osterode am Harz",Psychiatrist,"Anthony Li, 015352891672."
VJC347301,2017-01-03,PIO446243,Endocrine/ Metabolic,Diabetes,Durable Medical Equipment,Insulin Pump,True,Dr. James Barber,Tiffany Taylor,Male,10-20,O-,U698651653,017299502520,"Heydrichplatz 6/3
68710 Rothenburg ob der Tauber",Hospital doctor,"Susan Ramirez, 016468308455."
VFM811287,2017-01-03,PXJ645389,Digestive System/ Gastrointestinal,GERDs/ Reflux Disorders,Electrical/ Thermal/ Radiofreq. Interventions,Radiofrequency Ablation,True,Dr. Jerry Daniels,Katelyn Gonzales,Male,51-64,B+,B122017920,017310550194,"Luigi-Kostolzin-Allee 8
01828 Soltau",Jewellery designer,"Renee Riggs, 017599145714."
VQR169843,2017-01-03,PPA000438,Mental,,Pharmacy/Prescription Drugs,,True,Dr. Shelly Hunt,Angela Ward,Male,10-20,AB+,U595670962,015060051370,"Gabi-Ladeck-Weg 8/8
86425 Dinkelsbühl",Chief Marketing Officer,"Michelle Robinson, 016668814901."
VTP125126,2017-01-03,PNA818282,Skin,Rash,Diagnostic/Physician Evaluation,,True,Dr. Alexandria Gaines,Patrick Rhodes,Female,21-30,A+,M408300216,015280994871,"Heinrichring 795
32716 Lüneburg",Trading standards officer,"John Young, 017121514327."
VKH924729,2017-01-03,PZO153317,Cancer,Breast Cancer,Cancer Treatment,Chemotherapy,True,Dr. James Barber,Melissa Howard,Female,51-64,AB+,W781967666,017640687794,"Irmela-Bolnbach-Allee 32
13625 Forst","Scientist, clinical (histocompatibility and immunogenetics)","Ashley Dixon, 016914396184."
VZA334395,2017-01-03,PGD755392,Cancer,Skin Cancer,Cancer Treatment,Chemotherapy,True,Dr. Alexandria Gaines,Lisa Williams,Male,51-64,O+,V542258607,017262677814,"Oestrovskyallee 2
51854 Hildburghausen","Designer, multimedia","Barbara Thompson, 017647870088."
VEG827861,2017-01-04,PEP999860,Endocrine/ Metabolic,Growth Hormone Deficiency,Pharmacy/Prescription Drugs,Hormones,True,Dr. Michelle Lamb,Alexandra Smith,Female,10-20,O-,Y418285390,015613684412,"Georgios-Rogner-Ring 813
61994 Belzig","Administrator, arts","Amy Watkins, 017893631780."
VLC633591,2017-01-04,PNK651872,Pediatrics,Delayed Speech,Rehabilitation Services - Outpatient,Speech Therapy,True,Dr. Jerry Daniels,Katrina Sanchez,Female,0-10,AB-,Y449162900,017456853286,"Hübelweg 7
38777 Artern",Volunteer coordinator,"Rodney Huff, 017622085956."
VRX500524,2017-01-04,PMT699499,Mental,ADHD - Attention Deficit Hyperactivity Disorder,Mental Health Treatment,Psychotherapy,True,Dr. Alexandria Gaines,Kimberly Martinez,Male,21-30,B-,J996581539,016765301860,"Elzbieta-Ruppersberger-Platz 63
75265 Berlin",Cabin crew,"Heather Medina, 015726907793."
VFC480193,2017-01-04,PDP927498,Cardiac/Circulatory,Stroke/ CVA,Acute Medical Services - Inpatient,Admission,True,Dr. James Barber,Elizabeth Terry,Male,31-40,O-,U699676854,015029359938,"Fechnerweg 919
64290 Gießen",Learning mentor,"Robert Henderson, 015892376227."
VQO259640,2017-01-04,PIP591024,Trauma/Injuries,Injury,Pharmacy/Prescription Drugs,Non-FDA Approved Use,True,Dr. James Barber,Kelly Robinson,Male,51-64,O-,F954101054,015872636943,"Frauke-Hein-Platz 9
44228 Waren",Paramedic,"Ryan Lambert, 015165991456."
VIA917820,2017-01-04,PAH205719,Cardiac/Circulatory,Varicose Veins,Electrical/ Thermal/ Radiofreq. Interventions,Radiofrequency Ablation,True,Dr. Shelly Hunt,Regina White,Female,41-50,A+,X371347215,017058148860,"Heydrichstraße 7/7
49898 Miesbach",Social researcher,"Courtney Perkins, 017751683900."
VZG760568,2017-01-04,PBP808230,Mental,Schizophrenia,Mental Health Treatment,Acute Psychiatric Facility Admission,True,Dr. Michelle Lamb,Maria Thomas,Female,51-64,O-,M768759515,016697246670,"Lutz-Kensy-Gasse 3/1
21952 Perleberg","Administrator, local government","William Walker, 015244537332."
VGG717904,2017-01-04,PFT099340,Morbid Obesity,Hypertension,General Surgery,,True,Dr. Eddie Young,Deanna Sanchez,Male,41-50,AB-,V131811596,016424443031,"Walentina-Hörle-Gasse 9/8
76338 Badibling",Leisure centre manager,"Mr. Christian Meyer, 017908913420."
VRL119631,2017-01-04,PGB192372,Orthopedic/ Musculoskeletal,Back Pain,Orthopedic,,True,Dr. James Barber,Manuel Nguyen,Male,21-30,O+,B686043359,017975417100,"Anika-Linke-Gasse 0
80610 Eichstätt","Engineer, civil (contracting)","Morgan Morris, 015660121953."
VVH047046,2017-01-04,PVJ907429,Endocrine/ Metabolic,Diabetes,Durable Medical Equipment,Insulin Pump,True,Dr. Jerry Daniels,Michael Butler,Male,51-64,A+,Q521133910,017267105728,"Mareen-Heinrich-Platz 100
35990 Schwandorf",Television production assistant,"Cheryl Jimenez, 016275747902."
VKH889331,2017-01-04,PMK163873,Autism Spectrum,Autism-PDD-NOS,,Speech Therapy,True,Dr. Alexandria Gaines,Jessica Goodwin,Female,0-10,B+,J789243673,017607179538,"Ottomar-Hendriks-Platz 217
92488 Teterow",Clinical biochemist,"Scott Hall, 015588309257."
VTD070256,2017-01-04,PQW041462,Cancer,Breast Cancer,"Diagnostic Imaging, Screening and Testing",Biopsy,True,Dr. Eddie Young,Jordan Pittman,Female,41-50,AB+,G690735224,016412605039,"Karl-Heinrich-Striebitz-Platz 628
96941 Recklinghausen",Barrister,"Steven Olsen, 015310537334."
VEO439666,2017-01-04,POY777417,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Anti-virals,True,Dr. Jerry Daniels,Jesse Cooper,Female,51-64,A-,Private,015612048047,"Kirstin-Sager-Straße 252
08783 Monschau",Lobbyist,"Sarah Greene, 016845686437."
VVH026262,2017-01-05,PAG762173,Cancer,Ovarian Cancer,"Diagnostic Imaging, Screening and Testing",PET Scan,True,Dr. Michelle Lamb,Erica Love,Female,51-64,B-,B970447167,017338468410,"Karl-Friedrich-Mentzel-Ring 7/4
45575 Feuchtwangen","Therapist, drama","Alexander Erickson, 015879754770."
VTS765887,2017-01-05,PUD186470,Mental,Alcohol Abuse/ Addiction,Mental Health Treatment,Alcohol Rehabilitation Program,True,Dr. Michelle Lamb,Anne Dorsey,Male,41-50,B-,V604955649,016994936007,"Jochen-Gnatz-Gasse 561
33390 Gransee",Youth worker,"Michael Terrell, 017977837646."
VYY652542,2017-01-05,PFF539651,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Anti-virals,True,Dr. James Barber,Benjamin Jimenez,Male,51-64,B-,E729976100,017731464137,"Gesa-Döring-Platz 3
63513 Ochsenfurt","Designer, furniture","Kimberly Wells, 015381231223."
VYY116769,2017-01-05,PGP257150,Orthopedic/ Musculoskeletal,Joint Problem,Orthopedic,Hip Replacement,True,Dr. Jerry Daniels,Shannon Porter,Other,0-10,A+,F143323745,016892407480,"Gerd-Keudel-Gasse 152
49397 Celle",Secretary/administrator,"Amanda Kline, 015675254655."
VZL403133,2017-01-05,PGB744623,Pediatrics,Developmental Delays/ Cognitive,Rehabilitation Services - Outpatient,Physical Therapy,True,Dr. Michelle Lamb,David Hall,Male,0-10,B+,R364484658,015378135558,"Astrid-Mangold-Platz 306
99848 Burglengenfeld",Wellsite geologist,"Gina Browning, 017463989613."
VDM714426,2017-01-05,PVI412263,Mental,Severe Emotional Disturbance,Mental Health Treatment,Residential Treatment Center - Admission,True,Dr. James Barber,Cory Quinn,Female,10-20,B+,X468537736,016556451246,"Valerij-Gotthard-Straße 16
79013 Göttingen",Science writer,"Brian Ramirez, 016578447531."
VAJ041845,2017-01-05,POG722979,OB-Gyn/ Pregnancy,Female Breast Disorder,"Diagnostic Imaging, Screening and Testing",Mammography,True,Dr. Michelle Lamb,Steven Moore,Female,51-64,A+,A856273296,017499002238,"Dan-Girschner-Ring 688
80508 Feuchtwangen",Air traffic controller,"Shane Johnson, 016638112590."
VGE804650,2017-01-05,PJR839239,Pediatrics,Delayed Speech,Rehabilitation Services - Outpatient,Speech Therapy,True,Dr. Michelle Lamb,Monica Moyer,Female,0-10,O+,H376515983,015440669715,"Erika-Eberth-Gasse 176
33397 Deggendorf",Insurance risk surveyor,"Courtney Garner, 016205804069."
VJX120205,2017-01-05,PNE653812,Morbid Obesity,Musculoskeletal/ Ortho Problem,General Surgery,Bariatric Other,True,Dr. James Barber,Gabrielle Murray,Female,21-30,O+,K305693391,016371212820,"Reisingring 549
92515 Hettstedt",Control and instrumentation engineer,"Jane Carter, 017022783024."
VVF799480,2017-01-05,PWT769111,Orthopedic/ Musculoskeletal,Back Pain,Chiropractic,Pain Management,True,Dr. Eddie Young,Alejandro Turner,Female,31-40,A-,I683167785,016639195556,"Schmidtkestraße 72
58264 Rothenburg ob der Tauber",Environmental consultant,"Mr. Jason Boyd, 016964579078."
VML463994,2017-01-05,PPF704186,Orthopedic/ Musculoskeletal,Back Pain,Alternative Treatment,Acupuncture,True,Dr. Jerry Daniels,Paul Alexander,Female,51-64,A-,I921124753,017483173893,"Wirthstraße 35
97348 Gera","Engineer, maintenance (IT)","Dr. Christopher Gaines, 016946401251."
VIW090902,2017-01-05,PGM133576,Mental,,Mental Health Treatment,Acute Psychiatric Facility Admission,True,Dr. Alexandria Gaines,Roy Davies,Female,31-40,AB-,Y794482116,015666808175,"Gutknechtplatz 8
51285 Marktheidenfeld",Pension scheme manager,"Kaylee Davis, 015970461736."
VOK464318,2017-01-06,PCP295049,Orthopedic/ Musculoskeletal,,Orthopedic,Knee Replacement,True,Dr. Michelle Lamb,Nancy Davis,Female,41-50,AB-,Private,015396940533,"Ladeckgasse 7/0
99282 Kronach",Arts development officer,"Diana Reeves, 017187590353."
VHM820052,2017-01-06,PNN263789,Mental,Alcohol Abuse/ Addiction,Mental Health Treatment,Residential Treatment Center - Discharge,True,Dr. James Barber,Samantha Abbott,Female,41-50,O-,C149648578,015930648290,"Nelly-Bonbach-Allee 4/9
42596 Güstrow",Armed forces training and education officer,"Danielle Jacobson, 017471066555."
VHX836883,2017-01-06,PRE125260,Orthopedic/ Musculoskeletal,Back Pain,Reconstructive/Plastic Surgery,Mammopexy,True,Dr. Shelly Hunt,David Pennington,Female,51-64,AB+,X781679059,017643479414,"Paul-Gerhard-Wieloch-Allee 94
81016 Feuchtwangen",Advertising account planner,"Michael Smith, 016497599211."
VSE967800,2017-01-06,PWI349452,Endocrine/ Metabolic,Growth Hormone Deficiency,Pharmacy/Prescription Drugs,Hormones,True,Dr. Shelly Hunt,Dakota Mccarthy,Male,0-10,AB+,Private,017676552242,"Katherina-Geisler-Platz 53
20458 Mühlhausen",Estate manager/land agent,"Maureen Parks, 017751308236."
VNA372397,2017-01-06,POD421769,Trauma/Injuries,Injury,Rehabilitation Services - Skilled Nursing Facility - Inpatient,Inpatient Early Discharge,True,Dr. Michelle Lamb,Dominic Ford,Male,31-40,A-,C230504975,017174172546,"Melissa-Davids-Straße 48
51018 Gransee",Copy,"Amy Lara, 017329864379."
VOF252733,2017-01-06,PQW170812,Endocrine/ Metabolic,Growth Hormone Deficiency,Pharmacy/Prescription Drugs,Hormones,True,Dr. Eddie Young,Roy Rodriguez,Male,0-10,A+,N518554871,016833388172,"Almuth-Ernst-Allee 654
01976 Jülich",Colour technologist,"John Barton, 017264324222."
VMJ346210,2017-01-06,PQW225065,Central Nervous System/ Neuromuscular,Paralysis,Rehabilitation Services - Skilled Nursing Facility - Inpatient,Inpatient Admission,True,Dr. Alexandria Gaines,Andre Salazar,Male,21-30,A+,W560558706,015208684003,"Mechthilde-Wilms-Ring 357
53391 Calau",Web designer,"Audrey King, 015883997312."
VMY157162,2017-01-06,POZ142523,Orthopedic/ Musculoskeletal,Back Pain,Pharmacy/Prescription Drugs,Arthritis Medications,True,Dr. Michelle Lamb,Timothy Hanson,Other,0-10,B+,T661715254,017266055886,"Wilmsenstraße 2
24629 Wiedenbrück","Teacher, secondary school","Stacy Blanchard, 015750247446."
VUF153064,2017-01-06,PEE574660,Pediatrics,Delayed Speech,Rehabilitation Services - Outpatient,Speech Therapy,True,Dr. Eddie Young,Maria Thomas,Female,0-10,O+,N685508534,016353865029,"Hessegasse 63
69856 Nördlingen",Museum/gallery curator,"Courtney Hall, 015986337602."
VQU052934,2017-01-06,PBK038453,Mental,Depression - Severe,Electrical/ Thermal/ Radiofreq. Interventions,Transcranial Magnetic Stimulation,True,Dr. Alexandria Gaines,Julian Lester,Female,31-40,A-,I629485374,017093789050,"Reutergasse 30
25264 Eisleben",Manufacturing systems engineer,"Thomas Scott, 015110280251."
VPG303082,2017-01-06,PJY102308,Pediatrics,Delayed Speech,Rehabilitation Services - Outpatient,Speech Therapy,True,Dr. Alexandria Gaines,Rebecca Alexander,Male,0-10,O+,Y429133911,017127713665,"Weihmannallee 0
91845 Rehau",Youth worker,"Sarah Mcdonald, 015647054531."
VXE279251,2017-01-06,PQE659363,Mental,Alcohol Abuse/ Addiction,Mental Health Treatment,Residential Treatment Center - Admission,True,Dr. Shelly Hunt,Elizabeth Lowery,Male,41-50,AB-,Q392458458,015632416058,"Grein Grothstr. 8/7
52248 Merseburg",Advertising account executive,"Gregory Berger, 015165001944."
VZY510775,2017-01-06,PCE930422,Cardiac/Circulatory,Chest pain,"Diagnostic Imaging, Screening and Testing",,True,Dr. Eddie Young,Alexandra Sanders,Male,0-10,A-,I598670635,015036666050,"Matteo-Ullrich-Allee 58
01601 Büsingen am Hochrhein",Quarry manager,"Michelle Lester, 015690056343."
VLW560775,2017-01-06,PAV666848,Skin,Abscess,Acute Medical Services - Outpatient,Emergency Room,True,Dr. James Barber,Samantha Powell,Male,10-20,AB-,H721422632,016970072833,"Malgorzata-Hermann-Platz 4
13956 Uelzen",Academic librarian,"David Smith, 015464931047."
VKR456705,2017-01-06,PNW895125,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Anti-virals,True,Dr. James Barber,Kelly Wong,Female,51-64,B-,U159889889,016958755165,"Scheelplatz 12
92232 Hechingen",Warehouse manager,"David Chaney, 017657067463."
VEC573897,2017-01-06,PJZ848816,Cancer,Colon Cancer,"Diagnostic Imaging, Screening and Testing",Lab Work,True,Dr. James Barber,Hannah Kelley,Male,51-64,A+,U225485795,017423108137,"Ullmannweg 26
82008 Dachau",Brewing technologist,"Stephanie Boyd, 015784302931."
VFJ327728,2017-01-06,PLL804504,Mental,Anxiety,Mental Health Treatment,Cognitive Therapy,True,Dr. Eddie Young,Michael Bradshaw,Male,51-64,B+,M716971172,015489700898,"Sorgatzstraße 15
66137 Beeskow",Special effects artist,"Cheryl Thomas, 015689497223."
VTP494932,2017-01-07,PWM992915,Orthopedic/ Musculoskeletal,Osteoarthritis,Durable Medical Equipment,Wheelchair,True,Dr. James Barber,Amy Underwood,Female,21-30,O-,G672327732,017745521092,"Beckerweg 5
59778 Seelow","Investment banker, corporate","Timothy Powell, 016939574807."
VGJ517189,2017-01-07,PKD842443,Cancer,Brain Cancer,Cancer Treatment,Surgery,True,Dr. Jerry Daniels,Greg Oconnor,Female,51-64,AB+,R478964230,017243453385,"Hörleallee 462
30875 Einbeck",English as a foreign language teacher,"Thomas Cuevas, 015759431472."
VMC295847,2017-01-07,PWA737148,Orthopedic/ Musculoskeletal,Back Pain,Reconstructive/Plastic Surgery,Panniculectomy,True,Dr. Shelly Hunt,Jeffery Nichols,Female,41-50,O-,Private,015676389003,"Sigrun-Zahn-Gasse 48
98691 Burglengenfeld","Surveyor, mining","Brandi Hardy, 016456916529."
VGG074517,2017-01-07,PAE552573,Morbid Obesity,Hypertension,General Surgery,Bariatric Other,True,Dr. James Barber,Nicholas Ryan,Female,41-50,AB-,Private,015437776998,"Heidrun-Bachmann-Ring 0/9
81280 Rastatt",Geographical information systems officer,"Gregory Erickson, 017197902562."
VZA879696,2017-01-07,PSG410723,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Anti-virals,True,Dr. Shelly Hunt,Andrea Johnson,Male,51-64,A-,X383290854,017173714465,"Kabusplatz 62
68020 Hohenmölsen",Public affairs consultant,"Alison Adkins, 015697595509."
VQZ867181,2017-01-07,PCI960548,Orthopedic/ Musculoskeletal,Osteoarthritis,Alternative Treatment,Acupuncture,True,Dr. Jerry Daniels,Erica Sanchez,Female,51-64,B-,H249936838,015709892046,"Reisingstr. 190
58246 Zschopau",Environmental manager,"Kimberly Miller, 017915424657."
VJG054580,2017-01-07,PTY324114,Cancer,Breast Cancer,Cancer Treatment,Investigational Treatment,True,Dr. Michelle Lamb,Wendy Anderson,Female,41-50,AB+,Private,016247249997,"Irmhild-Wulf-Straße 5/5
34337 Bernburg",Careers adviser,"Dustin Johnson, 017121672817."
VAJ599113,2017-01-07,PSG781563,Pediatrics,Delayed Speech,Rehabilitation Services - Outpatient,Speech Therapy,True,Dr. Eddie Young,Colin Dalton,Male,0-10,B-,M258317226,016942453504,"Carla-Gute-Platz 09
15198 Ravensburg","Engineer, civil (contracting)","Monica Taylor DDS, 015537942435."
VUL943557,2017-01-07,PEA296962,Infectious,Hepatitis,"Diagnostic Imaging, Screening and Testing",,True,Dr. Jerry Daniels,Lindsay Ryan,Female,51-64,A-,L305245185,017615270067,"Erdal-Plath-Gasse 547
65587 Hildesheim","Development worker, community","Mary Mueller, 017206273770."
VFG711936,2017-01-07,PJA762749,Pediatrics,Delayed Speech,Rehabilitation Services - Outpatient,Speech Therapy,True,Dr. Shelly Hunt,Ryan Calhoun,Male,0-10,B-,Private,017875793100,"Andrej-Klemm-Straße 46
87868 Bersenbrück","Education officer, community","Denise Nielsen, 016301185635."
VFX026310,2017-01-07,PLC475390,Cancer,Skin Cancer,Cancer Treatment,Chemotherapy,True,Dr. Alexandria Gaines,Gabriela Mitchell,Male,65+,O-,M978967243,016778686352,"Ernstallee 6/2
28818 Dessau",Photographer,"Sherry Henry, 017058661610."
VBB008641,2017-01-07,PFN066470,OB-Gyn/ Pregnancy,Female Breast Disorder,Reconstructive/Plastic Surgery,Breast Augmentation,True,Dr. Alexandria Gaines,Jeffrey Bryant,Female,51-64,O+,X621159051,015591523015,"Försterstr. 484
79388 Tuttlingen",Soil scientist,"Christopher Espinoza, 017487719876."
VSX727271,2017-01-07,PQU654395,Orthopedic/ Musculoskeletal,Back Pain,Electrical/ Thermal/ Radiofreq. Interventions,IDET,True,Dr. Alexandria Gaines,Robert Horton,Other,0-10,O+,F934384436,017880040571,"Eckehard-Naser-Gasse 9/3
77200 Pfaffenhofen an der Ilm",Clinical molecular geneticist,"Amber Morton, 017983962871."
VYS949695,2017-01-07,PSQ736839,Cancer,Lung Cancer,Cancer Treatment,Radiation Oncology,True,Dr. Shelly Hunt,Zachary Jones,Male,51-64,B-,I968068732,016287305567,"Christiana-Schuster-Straße 428
68927 Sebnitz",Historic buildings inspector/conservation officer,"Rachel Vargas, 015833040069."
VJI265204,2017-01-07,PQW170812,Autism Spectrum,Autism-PDD-NOS,Autism Related Treatment,Speech Therapy,False,Dr. Eddie Young,Roy Rodriguez,Male,0-10,A+,N518554871,016833388172,"Almuth-Ernst-Allee 654
01976 Jülich",Colour technologist,"John Barton, 017264324222."
VQY170745,2017-01-07,PHI156587,Orthopedic/ Musculoskeletal,Back Pain,Pharmacy/Prescription Drugs,Analgesics,True,Dr. Shelly Hunt,Michael Phillips,Female,51-64,A-,D244733307,015530961837,"Radischstraße 5
32311 Marienberg",Comptroller,"Eddie Johnson, 016348991788."
VVR819500,2017-01-07,PAX954295,Chronic Pain,,Pharmacy/Prescription Drugs,IVIG Therapy,True,Dr. Eddie Young,Elizabeth Morris,Female,41-50,A+,W837336682,016012943780,"Scholzgasse 3
45154 Düren","Surveyor, mining","Jamie Smith, 017932236385."
VDW581539,2017-01-07,PDM236997,Cancer,Breast Cancer,Cancer Treatment,Investigational Treatment,True,Dr. James Barber,Rhonda Garcia,Female,51-64,AB+,P146996041,017342935733,"Henny-Bohlander-Gasse 536
17817 Hagenow","Development worker, international aid","Michelle Rivera, 015169080560."
VXT875695,2017-01-07,PNW072585,Central Nervous System/ Neuromuscular,,Pharmacy/Prescription Drugs,Botox Injection,True,Dr. James Barber,Stephanie Cain,Female,41-50,O-,A816651781,016038994450,"Scheibestr. 6
73130 Suhl",Passenger transport manager,"Mary Soto, 017349657768."
VQL009776,2017-01-07,PSX651090,OB-Gyn/ Pregnancy,Pregnancy,"Diagnostic Imaging, Screening and Testing",Ultrasound,True,Dr. Jerry Daniels,Taylor Jennings,Female,31-40,B+,D441944945,016227633684,"Gerlind-Fischer-Gasse 081
69061 Norden",Armed forces operational officer,"Danielle Frank, 017348515766."
VBI718060,2017-01-07,PJL184150,Autism Spectrum,Autism-PDD-NOS,Diagnostic/Physician Evaluation,Specialty Consultation Referral,True,Dr. Michelle Lamb,Alexander Black,Male,0-10,O-,Private,016371935151,"Klaus Dieter-Gumprich-Allee 150
06548 Bruchsal",Farm manager,"Tammy Henry, 015266066312."
VYD350065,2017-01-08,PPP634351,Cancer,Brain Cancer,Special Procedure,Hyperbaric Oxygen Chamber,True,Dr. Jerry Daniels,Julie Garza,Female,51-64,A-,Private,017812616297,"Netteplatz 22
50027 Bad Freienwalde","Designer, fashion/clothing","Thomas Herrera, 017147590764."
